Student,Gender,PSATM,SATM,ACTM,Rank,Size,GPAadj,PlcmtScore,Recommends,Course,Grade,RecTaken,TooHigh,TooLow,CourseSuccess
1779,,53,61,,15,208,37,33,R0,117,A,1,0,0,1
1787,,,58,23,127,328,33,24,R0,117,B+,1,0,0,1
1821,,,54,26,3,28,39,30,R0,117,A-,1,0,0,1
1845,,56,64,28,166,451,33,31,R0,120,B+,0,1,0,1
1851,,,60,23,0,0,27,17,R0,117,C,1,0,0,0
1866,,,,27,95,598,36,29,R0,117,A-,1,0,0,1
1870,,,55,18,255,708,26,10,R0,117,B-,1,0,0,0
1927,,,57,,178,474,32,19,R0,117,B,1,0,0,1
1946,,56,,26,3,128,40,33,R0,117,A-,1,0,0,1
1956,,,50,22,19,276,38,29,R0,109,A-,1,0,0,1
1957,,48,,21,109,264,31,15,R0,117,B+,1,0,0,1
1961,,,62,20,0,0,32,22,R0,117,A,1,0,0,1
1968,,,,22,63,389,33,21,R0,117,A-,1,0,0,1
1975,,,57,23,103,340,30,18,R0,117,B-,1,0,0,0
2119,,53,54,26,143,475,33,26,R0,117,A-,1,0,0,1
2129,,,46,,50,583,34,23,R0,109,B,1,0,0,1
2165,,,58,23,36,410,38,27,R0,117,A,1,0,0,1
2199,,,,27,2,125,40,36,R0,117,B+,1,0,0,1
2208,,53,,21,78,412,35,21,R0,117,A-,1,0,0,1
2255,,65,68,30,12,644,38,32,R0,210,,1,0,0,
2285,,,,24,248,690,32,18,R0,109,B-,1,0,0,0
2321,,,,24,6,48,39,29,R0,210,A+,1,0,0,1
2331,,,,18,13,125,35,19,R0,117,B,1,0,0,1
2352,,,,20,46,615,38,23,R0,117,B+,1,0,0,1
2355,,,,27,160,479,32,24,R0,117,B,1,0,0,1
2375,,,,23,0,0,26,17,R0,117,C+,1,0,0,0
2377,,,,22,29,86,36,27,R0,117,A-,1,0,0,1
2411,,,,20,0,0,0,-10,R0,117,B+,1,0,0,1
2413,,59,51,23,104,304,31,24,R0,117,A-,1,0,0,1
2417,,,44,18,90,175,24,7,R0,117,B,1,0,0,1
2435,,,,26,0,0,0,-2,R0,210,A,1,0,0,1
2466,,,,17,64,235,34,14,R0,117,A-,1,0,0,1
2486,,,59,27,,,40,33,R0,117,B,1,0,0,1
2490,,,,25,66,419,36,27,R0,117,,1,0,0,
2503,,47,,24,80,604,33,24,R0,117,,1,0,0,
2506,,,,27,,,40,31,R0,117,A-,1,0,0,1
2521,,53,57,22,136,636,38,24,R0,117,B,1,0,0,1
2530,,,55,19,177,518,30,16,R0,117,C+,1,0,0,0
2563,,53,,25,8,62,37,26,R0,117,A-,1,0,0,1
2569,,,,26,1,35,40,32,R0,117,,1,0,0,
2583,,,64,29,,,33,27,R0,117,,1,0,0,
2597,,45,55,20,239,569,31,16,R0,117,,1,0,0,
2600,,,,22,30,296,34,21,R0,117,A-,1,0,0,1
2649,,,52,,186,459,35,23,R0,210,,1,0,0,
2671,,58,63,28,20,506,40,34,R0,117,,1,0,0,
2686,,45,,26,210,636,37,29,R0,109,B,1,0,0,1
2695,,,,25,22,115,31,21,R0,117,B,1,0,0,1
2716,,,,25,15,101,38,29,R0,210,,1,0,0,
2764,,65,,27,17,57,33,25,R0,120,C-,0,1,0,0
2779,,,,27,,,37,30,R0,117,,1,0,0,
2785,,,,20,7,81,38,24,R0,117,,1,0,0,
2814,,51,,23,174,408,31,17,R0,120,C-,0,1,0,0
2846,,,59,,,,29,18,R0,117,,1,0,0,
2847,,48,57,,29,133,27,18,R0,210,,1,0,0,
2879,,56,,27,5,698,39,32,R0,117,,1,0,0,
2889,,45,,19,34,113,31,13,R0,117,B-,1,0,0,0
2922,,,,19,198,651,27,10,R0,117,,1,0,0,
2942,,,,20,23,356,39,25,R0,120,B,0,1,0,1
2945,,,,20,148,223,27,11,R0,117,,1,0,0,
2953,,,50,21,150,600,35,21,R0,117,,1,0,0,
2986,,,,19,106,434,35,21,R0,120,,0,1,0,
2998,,,,21,,,38,21,R0,117,B+,1,0,0,1
3000,,,,24,152,470,31,22,R0,117,,1,0,0,
3019,,,,19,301,631,30,13,R0,117,,1,0,0,
3028,,,,24,78,259,35,22,R0,117,,1,0,0,
3029,,,,22,13,68,35,20,R0,117,,1,0,0,
3063,,,50,23,84,699,38,27,R0,117,,1,0,0,
3081,,57,52,24,31,135,35,22,R0,117,B+,1,0,0,1
3087,,57,61,,52,773,39,30,R0,210,,1,0,0,
3101,,,,26,122,289,33,26,R0,210,,1,0,0,
3110,,54,59,26,37,281,30,17,R0,117,B,1,0,0,1
3133,,57,62,,128,480,36,29,R0,117,,1,0,0,
3141,,,56,31,40,436,31,27,R0,117,A-,1,0,0,1
3142,,61,59,24,41,239,35,24,R0,117,,1,0,0,
3193,,,,23,92,289,31,17,R0,117,A-,1,0,0,1
3199,,43,,23,25,144,37,24,R0,117,,1,0,0,
3205,,,,23,194,617,30,18,R0,117,,1,0,0,
3233,,56,57,24,41,291,35,22,R0,117,,1,0,0,
3247,,,,25,19,63,31,19,R0,117,C+,1,0,0,0
3304,,,,18,240,460,35,17,R0,210,,1,0,0,
3315,,,,23,82,274,34,25,R0,117,,1,0,0,
3318,,,,16,143,232,25,11,R0,117,,1,0,0,
3335,,59,,26,43,427,37,29,R0,117,,1,0,0,
3355,,,,14,130,240,28,14,R0,117,,1,0,0,
3428,,,,21,112,475,35,21,R0,117,,1,0,0,
3466,,52,,27,34,369,38,32,R0,117,,1,0,0,
3773,,,,24,65,238,29,23,R0,119,,0,0,0,
3776,,,55,22,,802,28,21,R0,210,,1,0,0,
3783,,,59,26,,802,31,27,R0,119,,0,0,0,
3816,,64,60,26,41,620,39,32,R0,117,,1,0,0,
3980,,,,26,29,390,39,34,R0,117,,1,0,0,
4034,,,,30,3,57,37,36,R0,117,,1,0,0,
4040,,,50,28,55,418,37,32,R0,120,,0,1,0,
524,0,48,52,26,,,25,21,R01,120,B-,0,1,0,0
525,0,56,65,24,139,484,33,21,R01,117,A,0,0,0,1
526,0,,56,,,,33,21,R01,109,B+,0,0,0,1
527,1,,,22,148,487,34,21,R01,120,B-,0,1,0,0
529,1,,,21,75,224,31,21,R01,117,C,0,0,0,0
530,1,,,26,27,163,31,21,R01,120,B,0,1,0,1
531,1,,,23,54,323,33,21,R01,117,B+,0,0,0,1
533,1,51,57,24,254,623,32,21,R01,120,D+,0,1,0,0
534,1,,,25,27,116,34,21,R01,120,D,0,1,0,0
535,1,,64,26,141,311,27,21,R01,120,C+,0,1,0,0
537,0,52,,20,11,40,36,20,R01,109,D,0,0,0,0
538,0,47,,22,84,279,34,20,R01,117,A,0,0,0,1
539,1,55,,23,14,87,34,20,R01,117,C,0,0,0,0
540,0,,,19,9,60,38,20,R01,120,C,0,1,0,0
541,0,,59,,12,96,29,20,R01,120,C,0,1,0,0
542,0,,,26,82,225,33,20,R01,120,C+,0,1,0,0
543,1,64,,22,50,403,32,20,R01,120,C+,0,1,0,0
545,1,47,,23,38,272,34,20,R01,120,B,0,1,0,1
547,0,,,26,22,267,31,20,R01,117,C,0,0,0,0
548,1,58,71,21,,,31,20,R01,120,A-,0,1,0,1
550,1,,,24,170,413,30,20,R01,120,C+,0,1,0,0
551,0,,57,27,85,365,29,19,R01,120,C-,0,1,0,0
552,1,,,25,42,104,30,19,R01,120,C-,0,1,0,0
553,1,65,73,29,252,432,23,19,R01,120,C,0,1,0,0
554,1,,,21,118,589,35,19,R01,109,B+,0,0,0,1
555,0,48,51,20,53,172,34,19,R01,117,B+,0,0,0,1
557,1,55,,22,83,170,28,19,R01,120,C-,0,1,0,0
558,0,,52,24,97,319,30,19,R01,120,C,0,1,0,0
560,0,,55,,63,480,31,19,R01,120,C+,0,1,0,0
561,1,50,,20,103,202,29,18,R01,120,B+,0,1,0,1
562,0,41,,18,42,598,38,18,R01,117,B,0,0,0,1
563,0,,49,,48,245,32,18,R01,117,B,0,0,0,1
564,1,,,25,27,128,28,18,R01,120,D,0,1,0,0
565,1,46,,20,62,324,32,18,R01,120,B-,0,1,0,0
566,1,,58,24,263,476,27,18,R01,120,B-,0,1,0,0
567,1,,,22,145,628,34,18,R01,120,C,0,1,0,0
569,1,,,22,47,147,31,16,R01,120,B-,0,1,0,0
571,0,50,,22,105,358,30,16,R01,117,C+,0,0,0,0
572,0,,55,,143,527,31,16,R01,120,B+,0,1,0,1
574,0,,64,26,57,364,26,15,R01,117,A,0,0,0,1
575,1,,,21,198,628,32,15,R01,117,C,0,0,0,0
577,1,,58,,,,26,15,R01,117,B-,0,0,0,0
579,0,,49,,,,27,15,R01,117,D,0,0,0,0
580,1,,,25,123,178,26,15,R01,120,C,0,1,0,0
581,1,,,24,73,177,31,15,R01,109,D+,0,0,0,0
582,1,56,,24,92,373,27,14,R01,120,D,0,1,0,0
583,0,,,16,19,251,37,14,R01,210,B-,0,0,0,0
584,1,,,25,131,322,25,14,R01,120,B-,0,1,0,0
585,1,,,24,155,580,32,14,R01,109,C+,0,0,0,0
591,1,,42,17,67,240,32,13,R01,117,C+,0,0,0,0
596,1,,35,17,,,34,12,R01,109,C+,0,0,0,0
597,1,,54,23,109,278,29,12,R01,109,B-,0,0,0,0
600,1,44,43,21,,,27,11,R01,120,F,0,1,0,0
601,0,,55,,314,533,30,10,R01,117,C+,0,0,0,0
602,1,,59,21,,,24,10,R01,120,B,0,1,0,1
603,1,,,21,45,109,26,10,R01,117,B,0,0,0,1
606,1,49,51,21,87,275,25,10,R01,120,D,0,1,0,0
609,1,,,19,74,179,27,8,R01,117,C+,0,0,0,0
611,0,43,44,17,213,473,31,8,R01,109,C+,0,0,0,0
612,1,,46,18,381,477,23,8,R01,120,F,0,1,0,0
617,1,,56,,,,20,5,R01,109,,0,0,0,
617,1,,56,,,,20,5,R01,109,D+,0,0,0,0
618,1,44,45,18,130,253,28,5,R01,117,D,0,0,0,0
619,0,28,42,,41,513,30,5,R01,117,A-,0,0,0,1
621,0,57,36,13,81,231,28,-1,R01,117,C-,0,0,0,0
622,1,,52,,68,141,20,-1,R01,120,B+,0,1,0,1
798,1,,,,,,,,R01,120,B-,0,1,0,0
815,,,,22,168,450,27,20,R01,109,C+,0,0,0,0
817,,,,27,178,328,27,21,R01,109,A-,0,0,0,1
818,,47,,22,35,70,24,13,R01,109,F,0,0,0,0
820,,44,53,,72,556,28,19,R01,109,B,0,0,0,1
844,,,64,25,176,312,25,14,R01,120,B-,0,1,0,0
846,,,,25,40,114,29,21,R01,117,C+,0,0,0,0
853,,,,23,124,376,32,20,R01,117,D,0,0,0,0
857,,64,,22,48,274,33,20,R01,120,B-,0,1,0,0
859,,51,59,25,168,438,29,20,R01,120,B,0,1,0,1
866,,,,21,129,252,24,12,R01,120,C+,0,1,0,0
885,,,,21,202,452,27,14,R01,120,B,0,1,0,1
894,,55,51,23,72,251,29,17,R01,120,D-,0,1,0,0
898,,,,20,22,79,31,18,R01,120,F,0,1,0,0
902,,,49,22,59,156,28,17,R01,120,D+,0,1,0,0
905,,47,,24,63,259,30,20,R01,120,B+,0,1,0,1
917,,,56,,4,27,29,18,R01,120,A,0,1,0,1
918,,,51,,,,26,18,R01,120,C-,0,1,0,0
932,,,44,19,218,477,29,15,R01,120,D,0,1,0,0
938,,58,54,23,312,626,30,18,R01,120,B-,0,1,0,0
939,,,,15,134,259,24,10,R01,120,D,0,1,0,0
951,,55,54,25,118,185,26,16,R01,120,C,0,1,0,0
966,,48,,21,33,121,29,17,R01,120,C-,0,1,0,0
970,,47,44,21,38,121,30,16,R01,120,C,0,1,0,0
985,,,,26,84,450,30,20,R01,120,A-,0,1,0,1
987,,47,44,20,,,29,17,R01,120,D,0,1,0,0
990,,,,26,144,280,27,17,R01,120,C+,0,1,0,0
993,,,,24,127,244,28,19,R01,120,C,0,1,0,0
1012,,46,,21,128,409,32,18,R01,117,A-,0,0,0,1
1016,,54,46,23,52,201,29,17,R01,117,A-,0,0,0,1
1024,,,,23,69,182,31,19,R01,120,C,0,1,0,0
1061,,,,22,168,471,32,21,R01,120,B-,0,1,0,0
1062,,,60,25,103,450,30,19,R01,120,B-,0,1,0,0
1075,,,56,,117,185,27,19,R01,120,C,0,1,0,0
1085,,,63,,26,38,26,18,R01,120,C+,0,1,0,0
1099,,55,51,26,250,508,29,21,R01,120,C+,0,1,0,0
1106,,,,20,211,350,22,8,R01,120,,0,1,0,
1112,,,58,25,,,28,21,R01,120,B,0,1,0,1
1368,,52,,19,156,671,33,17,R01,117,A-,0,0,0,1
1396,,,,26,233,452,24,17,R01,117,I,0,0,0,0
1428,,,,20,,,35,20,R01,117,S,0,0,0,
1509,,,57,27,224,453,27,19,R01,120,B,0,1,0,1
1521,,59,59,,29,383,30,20,R01,117,C,0,0,0,0
1522,,,,19,86,384,31,17,R01,117,C+,0,0,0,0
1535,,,,25,114,450,29,21,R01,109,B,0,0,0,1
1536,,59,,20,112,130,20,5,R01,120,C+,0,1,0,0
1570,,51,,18,98,280,32,17,R01,120,B-,0,1,0,0
1603,,,,19,205,396,30,16,R01,120,C,0,1,0,0
1665,,,,28,303,461,28,23,R01,120,C-,0,1,0,0
1671,,,,23,88,257,29,14,R01,120,D+,0,1,0,0
1674,,,,17,117,265,32,16,R01,120,C-,0,1,0,0
1678,,,,23,8,33,31,23,R01,120,C-,0,1,0,0
1682,,,64,27,237,437,27,19,R01,120,B+,0,1,0,1
1708,,,,26,105,346,33,23,R01,117,B+,0,0,0,1
1795,,,,26,16,33,30,22,R01,120,B-,0,1,0,0
1796,,,,22,124,584,33,19,R01,117,C-,0,0,0,0
1797,,,,18,17,64,34,18,R01,117,D,0,0,0,0
1815,,,61,27,118,538,29,21,R01,117,,0,0,0,
1817,,,51,19,0,91,29,16,R01,109,A,0,0,0,1
1847,,,53,,126,378,28,14,R01,120,D,0,1,0,0
1853,,48,,18,24,74,32,16,R01,117,A,0,0,0,1
1876,,59,,19,186,644,36,21,R01,120,C,0,1,0,0
1879,,,,22,116,417,33,22,R01,117,,0,0,0,
1883,,73,67,,217,411,24,22,R01,117,,0,0,0,
1885,,58,,23,5,50,35,22,R01,117,C+,0,0,0,0
1888,,52,,24,0,0,0,-8,R01,120,B+,0,1,0,1
1890,,44,42,20,243,652,29,14,R01,120,B-,0,1,0,0
1897,,50,,25,241,652,31,23,R01,120,D,0,1,0,0
1908,,,54,25,85,265,27,17,R01,120,C,0,1,0,0
1934,,,52,19,72,322,36,22,R01,120,C,0,1,0,0
1983,,,,24,82,348,31,20,R01,120,C,0,1,0,0
1999,,62,63,24,89,448,32,22,R01,120,A,0,1,0,1
2004,,,62,,34,207,32,22,R01,117,A,0,0,0,1
2016,,,,18,189,252,20,6,R01,117,B,0,0,0,1
2017,,,55,25,0,0,31,22,R01,120,C,0,1,0,0
2035,,,,24,38,228,35,23,R01,117,B,0,0,0,1
2046,,,,19,230,492,26,8,R01,109,C+,0,0,0,0
2092,,56,52,19,36,286,36,22,R01,117,B+,0,0,0,1
2103,,50,54,23,18,69,33,22,R01,120,D+,0,1,0,0
2134,,,,25,176,699,31,22,R01,120,B,0,1,0,1
2168,,48,,17,10,59,37,21,R01,117,B,0,0,0,1
2177,,44,54,25,182,357,27,19,R01,120,D,0,1,0,0
2191,,61,61,,54,270,25,23,R01,120,B+,0,1,0,1
2201,,,,23,161,690,33,23,R01,120,C,0,1,0,0
2210,,,,22,0,0,0,-7,R01,120,B,0,1,0,1
2217,,,48,23,149,414,33,19,R01,117,C-,0,0,0,0
2219,,,65,,238,631,24,21,R01,120,C+,0,1,0,0
2228,,56,58,24,340,657,31,23,R01,120,B,0,1,0,1
2271,,,58,22,13,80,36,23,R01,120,B+,0,1,0,1
2278,,,,21,83,419,35,22,R01,120,C-,0,1,0,0
2282,,,,25,0,0,29,21,R01,120,I,0,1,0,0
2284,,44,,21,4,220,35,23,R01,120,C+,0,1,0,0
2318,,52,,24,107,520,31,18,R01,120,B-,0,1,0,0
2325,,,36,14,85,470,24,3,R01,210,,0,0,0,
2329,,,,26,230,479,30,21,R01,109,C+,0,0,0,0
2332,,,46,21,39,470,30,16,R01,109,B,0,0,0,1
2336,,,51,19,179,296,28,13,R01,120,D,0,1,0,0
2337,,49,,19,6,36,36,23,R01,120,C,0,1,0,0
2348,,59,,26,0,0,0,0,R01,120,A,0,1,0,1
2359,,,,30,0,0,28,18,R01,120,C+,0,1,0,0
2360,,,,20,20,98,35,21,R01,117,A-,0,0,0,1
2374,,,,15,0,0,0,-18,R01,120,,0,1,0,
2378,,,56,23,0,0,34,22,R01,120,C-,0,1,0,0
2379,,,58,,266,538,21,12,R01,109,C-,0,0,0,0
2380,,,65,,0,0,23,19,R01,120,C,0,1,0,0
2382,,42,,20,18,220,28,17,R01,109,C-,0,0,0,0
2384,,53,,23,96,178,25,16,R01,120,F,0,1,0,0
2389,,58,60,,299,470,26,18,R01,117,D,0,0,0,0
2393,,,,31,121,384,27,23,R01,120,D+,0,1,0,0
2400,,,38,17,428,617,27,8,R01,117,C-,0,0,0,0
2401,,,,25,189,264,26,16,R01,120,B-,0,1,0,0
2403,,,,19,124,261,29,15,R01,120,B-,0,1,0,0
2407,,,,24,0,0,0,-8,R01,120,B+,0,1,0,1
2408,,50,,21,34,68,33,22,R01,120,C+,0,1,0,0
2409,,,,23,0,0,0,-8,R01,109,C-,0,0,0,0
2427,,40,38,,35,470,30,13,R01,109,D,0,0,0,0
2429,,,,22,71,132,27,17,R01,109,C+,0,0,0,0
2434,,,,29,56,86,22,20,R01,120,D+,0,1,0,0
2434,,,,29,56,86,22,20,R01,120,D,0,1,0,0
2445,,,40,19,28,48,28,13,R01,120,D,0,1,0,0
2445,,,40,19,28,48,28,13,R01,120,D,0,1,0,0
2449,,52,58,27,93,133,27,22,R01,120,B-,0,1,0,0
2452,,,54,,6,24,0,-5,R01,120,B,0,1,0,1
2472,,,,19,55,184,35,20,R01,120,B-,0,1,0,0
2483,,,,25,,,25,18,R01,120,,0,1,0,
2516,,,52,27,,,26,21,R01,120,B-,0,1,0,0
2571,,,,21,119,280,27,14,R01,117,B+,0,0,0,1
2582,,54,,19,56,299,30,14,R01,109,B,0,0,0,1
2593,,,62,26,164,312,27,19,R01,119,,0,0,0,
2646,,,56,22,,,29,17,R01,120,B-,0,1,0,0
2652,,,61,24,103,184,31,21,R01,120,C-,0,1,0,0
2652,,,61,24,103,184,31,21,R01,120,D,0,1,0,0
2654,,36,46,,166,550,25,13,R01,109,D,0,0,0,0
2688,,31,,17,83,174,31,14,R01,117,C+,0,0,0,0
2740,,,42,,157,550,25,6,R01,109,C,0,0,0,0
2742,,0,72,32,1,277,40,38,R01,120,,0,1,0,
2746,,,,17,8,21,38,20,R01,109,B,0,0,0,1
2788,,,,27,80,296,29,21,R01,120,C,0,1,0,0
2827,,53,,22,231,471,30,19,R01,120,B,0,1,0,1
2848,,,,18,93,408,34,20,R01,210,,0,0,0,
2863,,,62,25,180,357,25,18,R01,117,,0,0,0,
2870,,,,19,190,526,28,14,R01,109,C+,0,0,0,0
2920,,0,58,24,207,379,27,15,R01,120,F,0,1,0,0
2979,,,,19,28,120,36,19,R01,120,B-,0,1,0,0
2999,,43,,20,354,677,27,12,R01,210,,0,0,0,
3004,,,58,,414,557,24,19,R01,120,C+,0,1,0,0
3012,,,52,24,104,463,30,20,R01,109,B,0,0,0,1
3070,,,,22,121,302,27,17,R01,109,B,0,0,0,1
3183,,,59,26,255,375,25,20,R01,120,B-,0,1,0,0
3185,,,49,20,342,617,25,10,R01,120,,0,1,0,
3221,,,,25,123,400,29,19,R01,109,B,0,0,0,1
3256,,,45,19,125,466,35,21,R01,109,C+,0,0,0,0
3257,,,,18,19,173,36,21,R01,117,C,0,0,0,0
3264,,56,62,24,,,30,21,R01,120,C+,0,1,0,0
3268,,,51,19,36,91,28,13,R01,210,,0,0,0,
3269,,,,23,86,210,28,18,R01,120,C,0,1,0,0
3303,,,,19,86,191,28,15,R01,120,,0,1,0,
3320,,,,20,179,521,28,16,R01,120,,0,1,0,
3322,,47,,21,75,261,33,20,R01,120,,0,1,0,
3325,,61,,24,209,369,24,14,R01,120,,0,1,0,
3339,,50,,22,3,35,33,22,R01,109,,0,0,0,
3380,,,,21,105,328,30,20,R01,117,,0,0,0,
3452,,,,17,87,273,29,14,R01,117,,0,0,0,
3560,,,,19,184,416,30,19,R01,120,,0,1,0,
3562,,,,24,,,29,21,R01,119,,0,0,0,
3601,,,,25,245,426,29,18,R01,120,,0,1,0,
3625,,,,23,46,360,35,21,R01,120,,0,1,0,
3648,,,41,21,187,338,27,20,R01,120,,0,1,0,
3748,,,,18,130,254,30,19,R01,120,,0,1,0,
3793,,,,23,132,254,29,21,R01,120,,0,1,0,
3809,,,,21,,,33,22,R01,120,,0,1,0,
3938,,65,,28,10,292,38,35,R01,120,,0,1,0,
3969,,,55,25,60,334,29,20,R01,120,,0,1,0,
3981,,,,18,56,217,31,17,R01,109,,0,0,0,
256,0,,,27,4,72,39,37,R1,122,A,0,1,0,1
257,1,62,64,25,5,516,40,37,R1,122,A,0,1,0,1
258,0,,64,27,1,327,40,37,R1,120,B+,1,1,0,1
259,0,66,,26,23,599,39,37,R1,122,B+,0,1,0,1
260,0,66,65,29,13,443,38,37,R1,120,C,1,1,0,0
261,0,,,29,1,260,40,37,R1,120,A,1,1,0,1
263,1,,,36,35,101,30,37,R1,122,C,0,1,0,0
264,0,,,29,70,536,38,37,R1,117,A,0,0,0,1
265,0,55,,26,2,77,40,37,R1,120,A-,1,1,0,1
266,0,,62,27,,,39,37,R1,120,A,1,1,0,1
267,0,58,,27,1,104,40,37,R1,122,A,0,1,0,1
268,0,,,27,3,72,39,36,R1,122,B+,0,1,0,1
269,0,57,57,27,1,70,40,36,R1,117,A-,0,0,0,1
270,1,59,,27,76,435,36,36,R1,120,A-,1,1,0,1
271,0,56,58,28,41,514,38,36,R1,120,B,1,1,0,1
272,1,,58,26,3,104,40,36,R1,120,B-,1,1,0,0
273,0,,,29,7,162,40,36,R1,120,B,1,1,0,1
274,1,59,,28,5,63,39,36,R1,120,C+,1,1,0,0
277,1,66,58,29,64,472,37,36,R1,120,A+,1,1,0,1
278,0,,,27,10,176,39,36,R1,120,A,1,1,0,1
279,0,,62,28,9,196,39,36,R1,120,B,1,1,0,1
280,0,55,,26,26,497,39,36,R1,120,B-,1,1,0,0
281,1,,,27,29,413,39,36,R1,120,A-,1,1,0,1
