Province,Sex,Attitude Score,School
PWANI,female,161,I
PWANI,female,160,I
PWANI,female,147,I
PWANI,female,165,I
PWANI,female,171,I
PWANI,female,149,I
PWANI,female,161,I
PWANI,female,152,I
PWANI,female,161,I
PWANI,female,149,I
PWANI,female,157,I
PWANI,female,163,I
PWANI,female,157,I
PWANI,female,148,I
PWANI,female,151,I
PWANI,female,157,I
PWANI,female,168,I
PWANI,female,148,I
PWANI,female,157,I
PWANI,female,158,I
PWANI,female,153,I
PWANI,male,138,J
PWANI,male,156,J
PWANI,male,149,J
PWANI,male,171,J
PWANI,male,166,J
PWANI,male,162,J
PWANI,male,161,J
PWANI,male,156,J
PWANI,male,156,J
PWANI,male,160,J
PWANI,male,163,J
PWANI,male,157,J
PWANI,male,159,J
PWANI,male,154,J
PWANI,male,170,J
PWANI,male,153,J
PWANI,male,156,J
PWANI,male,162,J
PWANI,male,156,J
PWANI,male,162,J
PWANI,male,146,J
PWANI,male,156,J
PWANI,male,160,J
PWANI,male,154,J
PWANI,male,163,J
PWANI,male,154,J
PWANI,male,153,J
PWANI,male,169,J
PWANI,male,152,J
PWANI,male,163,J
PWANI,male,170,J
PWANI,male,150,J
PWANI,male,151,J
PWANI,male,164,J
PWANI,male,166,J
PWANI,male,163,J
PWANI,male,156,J
PWANI,male,156,J
PWANI,male,154,J
PWANI,male,165,J
PWANI,female,135,K
PWANI,female,157,K
PWANI,female,161,K
PWANI,female,154,K
PWANI,female,156,K
PWANI,female,157,K
PWANI,female,157,K
PWANI,female,162,K
PWANI,female,165,K
PWANI,female,156,K
PWANI,female,157,K
PWANI,female,156,K
PWANI,female,160,K
PWANI,female,162,K
PWANI,female,147,K
PWANI,female,155,K
PWANI,female,144,K
PWANI,female,163,K
PWANI,female,158,K
PWANI,female,153,K
PWANI,female,167,K
PWANI,female,148,K
PWANI,female,164,K
PWANI,female,168,K
PWANI,female,148,K
PWANI,female,157,K
PWANI,female,158,K
PWANI,female,148,K
PWANI,female,151,K
PWANI,female,171,K
PWANI,female,149,K
PWANI,female,154,K
PWANI,female,154,K
PWANI,female,170,K
PWANI,female,163,K
PWANI,female,148,K
PWANI,female,159,K
PWANI,female,156,K
PWANI,female,156,K
PWANI,female,159,K
PWANI,male,134,L
PWANI,male,145,L
PWANI,male,141,L
PWANI,male,145,L
PWANI,male,139,L
PWANI,male,149,L
PWANI,male,149,L
PWANI,male,147,L
PWANI,male,156,L
PWANI,male,148,L
PWANI,male,147,L
PWANI,male,157,L
PWANI,male,145,L
PWANI,male,160,L
PWANI,male,152,L
PWANI,male,136,L
PWANI,male,160,L
PWANI,male,145,L
PWANI,male,145,L
PWANI,male,148,L
PWANI,male,143,L
PWANI,male,146,L
PWANI,male,138,L
PWANI,male,148,L
PWANI,male,158,L
PWANI,male,134,L
PWANI,male,142,L
PWANI,male,145,L
PWANI,male,151,L
PWANI,male,147,L
PWANI,male,146,L
PWANI,male,148,L
PWANI,male,150,L
PWANI,male,140,L
PWANI,male,155,L
PWANI,male,151,L
PWANI,male,154,L
PWANI,male,149,L
PWANI,male,157,L
PWANI,male,160,L
