"Item_Number","Set_Name","Theme","Pieces","Price","Amazon_Price","Year","Ages","Pages","Minifigures","Packaging","Weight","Unique_Pieces","Availability","Size"
41404,"Emma's Play Cube - Photographer","Friends",36,9.99,17.97,2020,"Ages_6+",5,1,"Box",NA,31,"Retail","Small"
41390,"Andrea's Car & Stage","Friends",240,19.99,17.98,2020,"Ages_6+",68,2,"Box",NA,116,"Retail","Small"
41397,"Juice Truck","Friends",103,19.99,17.99,2020,"Ages_4+",52,2,"Box",NA,75,"Retail","Small"
41391,"Heartlake City Hair Salon","Friends",235,19.99,17.99,2020,"Ages_6+",84,2,"Box",NA,138,"Retail","Small"
41401,"Stephanie's Play Cube - Baker","Friends",44,9.99,18.54,2020,"Ages_6+",5,1,"Box",NA,37,"Retail","Small"
41358,"Mia's Heart Box","Friends",83,7.99,18.64,2019,"Ages_6+",32,1,NA,"0.14Kg (0.31 lb)",38,NA,"Small"
41407,"Olivia's Play Cube - Sweet Shop","Friends",47,9.99,18.65,2020,"Ages_6+",5,1,"Box",NA,40,"Retail","Small"
41400,"Andrea's Play Cube - Singer","Friends",49,9.99,18.93,2020,"Ages_6+",5,1,"Box",NA,32,"Retail","Small"
41363,"Mia's Forest Adventures","Friends",134,14.99,18.95,2019,"Ages_6+",44,1,NA,"0.15Kg (0.33 lb)",77,NA,"Small"
76090,"Mighty Micros: Star-Lord vs. Nebula","Marvel",86,9.99,19.49,2018,"Ages_5-12",7,2,"Box",NA,45,"Retail","Small"
41405,"Andrea's Play Cube - Pet Shop","Friends",40,9.99,19.8,2020,"Ages_6+",5,1,"Box",NA,33,"Retail","Small"
41383,"Olivia's Hamster Playground","Friends",81,9.99,19.94,2019,"Ages_6+",40,1,NA,"0.1Kg (0.22 lb)",52,NA,"Small"
41426,"Heartlake City Park Café","Friends",224,19.99,19.95,2020,"Ages_6+",72,2,"Box",NA,117,"Retail","Small"
76148,"Spider-Man vs. Doc Ock","Marvel",234,19.99,19.95,2020,"Ages_6+",72,3,"Box",NA,80,"Retail","Small"
41421,"Baby Elephant Jungle Rescue","Friends",203,19.99,19.99,2020,"Ages_6+",68,2,"Box",NA,111,"Retail","Small"
76101,"Outrider Dropship Attack","Marvel",124,14.99,21.95,2018,"Ages_6-12",52,3,"Box","0.18Kg (0.4 lb)",63,"Retail","Small"
76133,"Spider-Man Car Chase","Marvel",52,9.99,22.88,2019,"Ages_4+",36,2,"Box","0.16Kg (0.35 lb)",38,"Retail","Small"
41337,"Underwater Loop","Friends",389,29.99,24,2019,"Ages_7+",76,2,"Box",NA,165,"Retail","Small"
10749,"Mia's Organic Food Market","Friends",115,19.99,24.49,2018,"Ages_4-7",56,1,"Box",NA,70,"Retail","Small"
76149,"The Menace of Mysterio","Marvel",163,29.99,25.99,2020,"Ages_4+",128,3,"Box",NA,97,"Retail","Small"
41392,"Nature Glamping","Friends",241,29.99,26.99,2020,"Ages_6+",72,2,"Box",NA,110,"Retail","Small"
41366,"Olivia's Cupcake Cafe","Friends",335,29.99,26.99,2019,"Ages_6+",100,2,NA,"0.56Kg (1.23 lb)",185,NA,"Small"
41348,"Service & Care Truck","Friends",247,19.99,27.07,2018,"Ages_6-12",84,1,"Box","0.35Kg (0.77 lb)",123,"Retail","Small"
76124,"War Machine Buster","Marvel",362,34.99,27.79,2019,"Ages_7+",64,4,"Box",NA,122,"Retail","Small"
41359,"Heart Box Friendship Pack","Friends",199,19.99,28.45,2019,"Ages_6+",60,2,NA,"0.31Kg (0.68 lb)",90,NA,"Small"
76091,"Mighty Micros: Thor vs. Loki","Marvel",79,9.99,28.49,2018,"Ages_5-12",7,2,"Box",NA,47,"Retail","Small"
41328,"Stephanie's Bedroom","Friends",95,9.99,28.87,2018,"Ages_6-12",44,1,"Box",NA,72,"Retail","Small"
76150,"Spiderjet vs. Venom Mech","Marvel",371,29.99,29.95,2020,"Ages_7+",84,3,"Box",NA,136,"Retail","Small"
41427,"Emma's Fashion Shop","Friends",343,29.99,29.95,2020,"Ages_6+",112,2,"Box",NA,152,"Retail","Small"
41422,"Panda Jungle Tree House","Friends",265,29.99,29.95,2020,"Ages_7+",120,2,"Box",NA,149,"Retail","Small"
41376,"Turtles Rescue Mission","Friends",225,19.99,31.27,2019,"Ages_6+",72,2,"Box",NA,125,"Retail","Small"
41378,"Dolphins Rescue Mission","Friends",363,39.99,31.67,2019,"Ages_6+",116,2,"Box",NA,192,"Retail","Small"
76113,"Spider-Man Bike Rescue","Marvel",235,19.99,31.85,2019,"Ages_6+",92,3,"Box","0.34Kg (0.75 lb)",98,"Retail","Small"
41364,"Stephanie's Buggy & Trailer","Friends",166,19.99,32.9,2019,"Ages_6+",48,1,NA,"0.29Kg (0.64 lb)",97,NA,"Small"
41362,"Heartlake City Supermarket","Friends",140,29.99,32.97,2019,"Ages_4+",68,2,"Box",NA,90,"Retail","Small"
10754,"Spider-Man vs. Scorpion Street Showdown","Marvel",125,19.99,33.8,2018,"Ages_4-7",64,2,"Box","0.34Kg (0.75 lb)",82,"Retail","Small"
41353,"Friends Advent Calendar","Friends",500,29.99,34,2018,"Ages_6-12",4,NA,"Box",NA,202,"Retail","Small"
41371,"Mia's Horse Trailer","Friends",216,29.99,34.95,2019,"Ages_6+",76,2,"Box",NA,119,"Retail","Small"
41341,"Andrea's Bedroom","Friends",85,9.99,34.99,2018,"Ages_6-12",44,1,"Box",NA,60,"Retail","Small"
41367,"Stephanie's Obstacle Course","Friends",337,39.99,35.99,2019,"Ages_6+",100,2,NA,"0.59Kg (1.3 lb)",168,NA,"Small"
41393,"Baking Competition","Friends",361,39.99,35.99,2020,"Ages_6+",104,3,"Box",NA,157,"Retail","Small"
41382,"Friends Advent Calendar","Friends",330,29.99,36.49,2019,"Ages_6+",2,3,"Box",NA,158,"Retail","Small"
41327,"Mia's Bedroom","Friends",86,9.99,36.9,2018,"Ages_6-12",48,1,"Box",NA,63,"Retail","Small"
76134,"Spider-Man: Doc Ock Diamond Heist","Marvel",150,29.99,36.99,2019,"Ages_4+",96,3,"Box","0.53Kg (1.17 lb)",98,"Retail","Small"
41351,"Creative Tuning Shop","Friends",413,39.99,37.99,2018,"Ages_6-12",108,2,"Box","0.67Kg (1.48 lb)",217,"Retail","Small"
76099,"Rhino Face-Off by the Mine","Marvel",229,19.99,39.9,2018,"Ages_6-12",88,3,"Box",NA,100,"Retail","Small"
76164,"Iron Man Hulkbuster versus A.I.M. Agent","Marvel",456,39.99,39.95,2020,"Ages_8+",80,4,"Box",NA,143,"Retail","Small"
41423,"Tiger Hot Air Balloon Jungle Rescue","Friends",302,39.99,39.95,2020,"Ages_7+",116,2,"Box",NA,145,"Retail","Small"
76143,"Avengers Truck Take-down","Marvel",477,39.99,39.95,2020,"Ages_7+",116,4,"Box",NA,164,"Retail","Small"
41372,"Stephanie's Gymnastics Show","Friends",241,29.99,39.99,2019,"Ages_6+",76,2,"Box",NA,114,"Retail","Small"
76115,"Spider Mech vs. Venom","Marvel",604,49.99,39.99,2019,"Ages_8+",104,4,"Box","0.78Kg (1.72 lb)",203,"Retail","Small"
41374,"Andrea's Pool Party","Friends",468,49.99,40,2019,"Ages_6+",112,2,"Box",NA,221,"Retail","Small"
41330,"Stephanie's Soccer Practice","Friends",119,14.99,40.4,2018,"Ages_6-12",48,1,"Box",NA,78,"Retail","Small"
41332,"Emma's Art Stand","Friends",210,19.99,40.99,2018,"Ages_6-12",60,1,"Box","0.32Kg (0.7 lb)",107,"Retail","Small"
76104,"The Hulkbuster Smash-Up","Marvel",375,29.99,41,2018,"Ages_7-14",84,4,"Box","0.49Kg (1.08 lb)",143,"Retail","Small"
41334,"Andrea's Park Performance","Friends",229,24.99,43.79,2018,"Ages_6-12",80,3,"Box",NA,126,"Retail","Small"
41329,"Olivia's Deluxe Bedroom","Friends",163,14.99,44.42,2018,"Ages_6-12",60,1,"Box",NA,100,"Retail","Small"
76129,"Hydro-Man Attack","Marvel",471,39.99,44.99,2019,"Ages_7+",96,4,"Box",NA,170,"Retail","Small"
41333,"Olivia's Mission Vehicle","Friends",223,19.99,45.95,2018,"Ages_6-12",84,1,"Box","0.32Kg (0.7 lb)",106,"Retail","Small"
10893,"Spider-Man vs. Electro","Marvel",29,19.99,46.75,2019,"Ages_2+",10,2,"Box","0.41Kg (0.9 lb)",22,"Retail","Small"
41349,"Drifting Diner","Friends",345,29.99,46.9,2018,"Ages_6-12",92,2,"Box","0.54Kg (1.19 lb)",182,"Retail","Small"
76144,"Avengers Hulk Helicopter Rescue","Marvel",482,59.99,47.99,2019,"Ages_8+",100,4,"Box",NA,187,"Retail","Small"
76125,"Iron Man Hall of Armour","Marvel",524,59.99,47.99,2019,"Ages_7+",104,5,"Box",NA,156,"Retail","Small"
41380,"Lighthouse Rescue Centre","Friends",602,59.99,47.99,2019,"Ages_6+",180,2,"Box",NA,273,"Retail","Small"
41379,"Heartlake City Restaurant","Friends",624,59.99,48,2019,"Ages_6+",140,3,"Box",NA,201,"Retail","Small"
41344,"Andrea's Accessories Store","Friends",294,29.99,48.11,2018,"Ages_6-12",84,2,"Box","0.51Kg (1.12 lb)",128,"Retail","Small"
41394,"Heartlake City Hospital","Friends",379,49.99,48.53,2020,"Ages_6+",132,3,"Box",NA,154,"Retail","Small"
76102,"Thor's Weapon Quest","Marvel",223,19.99,48.71,2018,"Ages_6-12",84,3,"Box","0.33Kg (0.73 lb)",112,"Retail","Small"
76114,"Spider-Man's Spider Crawler","Marvel",418,39.99,48.99,2019,"Ages_7+",84,4,"Box","0.5Kg (1.1 lb)",132,"Retail","Small"
41346,"Friendship Box","Friends",563,49.99,49.79,2018,"Ages_6-12",172,NA,"Box","0.98Kg (2.16 lb)",198,"Retail","Small"
41342,"Emma's Deluxe Bedroom","Friends",183,14.99,49.92,2018,"Ages_6-12",68,1,"Box",NA,105,"Retail","Small"
10763,"Stephanie's Lakeside House","Friends",215,34.99,49.95,2018,"Ages_4-7",112,3,"Box",NA,142,"Retail","Small"
41428,"Beach House","Friends",444,49.99,49.95,2020,"Ages_6+",160,2,"Box",NA,216,"Retail","Small"
41335,"Mia's Tree House","Friends",351,29.99,53.88,2018,"Ages_6-12",120,2,"Box","0.61Kg (1.34 lb)",151,"Retail","Small"
41368,"Andrea's Talent Show","Friends",492,49.99,53.94,2019,"Ages_7+",124,2,NA,"0.72Kg (1.59 lb)",184,NA,"Small"
41365,"Emma's Art Studio","Friends",235,24.99,57.59,2019,"Ages_6+",60,2,"Box","0.42Kg (0.93 lb)",122,"Retail","Small"
41352,"The Big Race Day","Friends",648,59.99,59.3,2018,"Ages_7-12",144,3,"Box","0.99Kg (2.18 lb)",252,"Retail","Small"
76152,"Avengers Wrath of Loki","Marvel",223,59.99,59.95,2020,"Ages_4+",124,5,"Box",NA,137,"Retail","Small"
76165,"Iron Man","Marvel",480,59.99,59.99,2020,"Ages_18+",132,NA,"Box",NA,123,"Retail","Small"
41369,"Mia's House","Friends",715,69.99,62.99,2019,"Ages_6+",192,3,NA,"1.12Kg (2.47 lb)",274,NA,"Small"
76100,"Royal Talon Fighter Attack","Marvel",358,29.99,64.99,2018,"Ages_7-14",100,4,"Box",NA,119,"Retail","Small"
41338,"Stephanie's Sports Arena","Friends",460,44.99,68.7,2018,"Ages_6-12",108,2,"Box","0.76Kg (1.67 lb)",188,"Retail","Small"
41429,"Heartlake City Airplane","Friends",574,69.99,69.95,2020,"Ages_7+",164,NA,"Box",NA,238,"Retail","Small"
41395,"Friendship Bus","Friends",778,69.99,69.95,2020,"Ages_8+",236,3,"Box",NA,286,"Retail","Small"
76151,"Venomosaurus Ambush","Marvel",640,79.99,79.95,2020,"Ages_8+",148,5,"Box",NA,242,"Retail","Small"
41424,"Jungle Rescue Base","Friends",648,79.99,79.95,2020,"Ages_8+",176,3,"Box",NA,251,"Retail","Small"
76126,"Avengers Ultimate Quinjet","Marvel",840,79.99,79.99,2019,"Ages_8+",160,5,"Box",NA,252,"Retail","Small"
76131,"Avengers Compound Battle","Marvel",699,99.99,79.99,2019,"Ages_8+",168,7,"Box",NA,292,"Retail","Small"
41433,"Party Boat","Friends",640,79.99,79.99,2020,"Ages_7+",184,3,"Box",NA,270,"Retail","Small"
41381,"Rescue Mission Boat","Friends",908,89.99,80.99,2019,"Ages_7+",216,4,"Box",NA,376,"Retail","Small"
41336,"Emma's Art Café","Friends",378,32.99,85.49,2018,"Ages_6-12",112,2,"Box","0.6Kg (1.32 lb)",166,"Retail","Small"
76166,"Avengers Tower Battle","Marvel",685,89.99,89.99,2020,"Ages_8+",136,7,"Box",NA,250,"Retail","Small"
76107,"Thanos: Ultimate Battle","Marvel",674,69.99,92.84,2018,"Ages_8-14",116,4,"Box","1.02Kg (2.25 lb)",190,"Retail","Small"
41430,"Summer Fun Water Park","Friends",1001,99.99,99.95,2020,"Ages_8+",316,4,"Box",NA,394,"Retail","Small"
41375,"Heartlake City Amusement Pier","Friends",1251,129.99,116.99,2019,"Ages_8+",316,7,"Box",NA,433,"Retail","Small"
76153,"Avengers Helicarrier","Marvel",1244,119.99,119.95,2020,"Ages_9+",220,8,"Box",NA,355,"Retail","Small"
76103,"Corvus Glaive Thresher Attack","Marvel",416,39.99,124.75,2018,"Ages_7-14",124,5,"Box",NA,168,"Retail","Small"
41339,"Mia's Camper Van","Friends",488,54.99,142.99,2018,"Ages_7-12",116,2,"Box","0.91Kg (2 lb)",222,"Retail","Small"
41345,"Heartlake City Pet Centre","Friends",474,59.99,159.99,2018,"Ages_6-12",108,3,"Box","0.99Kg (2.18 lb)",234,"Retail","Small"
41340,"Friendship House","Friends",722,69.99,184.99,2018,"Ages_6-12",164,3,"Box","1.14Kg (2.51 lb)",309,"Retail","Small"
76105,"The Hulkbuster: Ultron Edition","Marvel",1363,119.99,196.87,2018,"Ages_14+",184,1,"Box",NA,268,"LEGO exclusive","Small"
76108,"Sanctum Sanctorum Showdown","Marvel",1004,99.99,197.52,2018,"Ages_8-14",220,5,"Box","1.59Kg (3.5 lb)",312,"Retail","Small"
41347,"Heartlake City Resort","Friends",1017,99.99,230,2018,"Ages_7-12",208,4,"Box","1.95Kg (4.3 lb)",326,"Retail","Small"
