LifeStage,Sex,Annuli,Mass,StraightlineCL,MaxCW,PL_AnteriortoHinge,PL_HingetoPosterior,ShellHeightatHinge
Adult,Male,25,352,129,99,48,71,59
Adult,Female,20,325,104.23,89.44,41.35,64.59,56.47
Adult,Male,20,260,115,92,65,71,51
Adult,Male,11,303,115,90,47,66,56
Adult,Female,21,455,137,106,52,79,63
Adult,Male,13,355,128.85,102.05,47.56,72.78,58.74
Adult,Female,20,390,122,102,48,73,57
Adult,Male,22,455,133,111,53,80,61.5
Adult,Female,23,425,115,101,50,72,64
Adult,Male,25,405,128,106,51,72,59
Adult,Male,18,310,127,100.81,49.56,71.2,55.25
Adult,Male,22,350,120,97,48,65,54
Adult,Female,19,408,120.92,99.06,48.84,72.47,62.73
Adult,Male,22,420,127,102,52,75,60
Adult,Male,40,390,124,98,49,72,56
Adult,Female,18,455,125.14,98.85,46.59,76.58,61.23
Adult,Female,21,430,120.79,100,48.33,71.29,63.17
Adult,Male,20,350,118.78,97.01,49.93,67.52,54.67
Adult,Male,14,333,122,98,45,73,55
Adult,Female,30,500,131,101,51,80,63
Juvenile,Female,5,50,60.5,46.3,20.9,31.7,27.1
Adult,Male,16,253,126.2,102.3,49.7,74.7,53.2
Adult,Female,15,330,111,91,45,68,58
Adult,Male,20,470,130.5,103.1,53.23,77.46,60.89
Adult,Female,20,500,139.14,99.82,49.75,75.12,72.31
Adult,Unknown,11,82,74.74,60.29,31.13,40.55,34.1
Adult,Male,20,320,115.11,93.95,45.9,69.17,56.11
Adult,Female,17,310,109,82,43,64,61
Adult,Male,20,505,133.59,101.46,53.78,78.78,62.23
Juvenile,Unknown,9,165,95.66,78.08,38.41,56.59,47.03
Adult,Male,25,360,127,98,48,71,58
Adult,Male,19,340,118,93,46,68,54
Adult,Male,26,430,132,93,61,84,56
Adult,Male,18,335,117.95,96.29,50.33,69.13,55
Adult,Female,12,200,97,79,39,55,47
Adult,Female,19,445,121.3,97.38,50.7,74.77,66.03
Adult,Female,9,205,98,78,39,57,46
Adult,Male,20,340,118.92,93.77,51.22,74.44,56.06
Adult,Male,23,400,123,102,53,80,60
Adult,Male,25,435,137,106,55,75,55
Adult,Male,25,435,131,104,52,75,58
Adult,Female,18,408,117,98,46,77,61
Adult,Female,15,445,120.5,97.53,51.53,74,60.66
Adult,Male,18,426,133,111,54,77,63
Adult,Male,20,427,114,99,49,71,62
Adult,Male,12,350,123,96,46,80,52
Adult,Male,26,430,132,93,61,84,56
Adult,Male,15,350,123.04,101.4,49.42,77.4,54.48
Adult,Male,16,350,115.27,98.15,45.72,71.22,57.63
Adult,Female,21,355,112.85,95.14,47.91,70.61,59.97
Juvenile,Male,15,100,82,66,32,49,38
Adult,Female,15,306,115,96,47,70,61
Adult,Male,20,380,125,92,46,73,59
Adult,Male,15,320,120,92,49,70,57
Adult,Male,15,256,111,90,44,67,53
Adult,Female,25,390,116,93,47,68,56
Adult,Male,10,250,105.13,90.84,46,71,55
Adult,Male,30,380,122.94,100.02,49.9,71.4,57.6
Hatchling,Unknown,3,25,46,42,19,24,21
Juvenile,Unknown,4,47,60.75,46.91,22.39,32.9,29.2
Adult,Female,20,395,128.33,100.41,51.68,74.05,57.71
Adult,Male,19,425,129.92,101.71,75.21,48.63,55.99
Adult,Male,20,305,115.68,98.33,45.52,66.1,55.47
Adult,Male,17,205,104,82,40,59,46
Juvenile,Unknown,3,65,69.09,60.74,27.41,37.69,34.86
Adult,Unknown,17,440,115,104.4,47.7,77,62
Adult,Male,9,225,109,86,42,64,46
Adult,Male,19,325,114,78,48,75,57
Adult,Female,19,415,120.78,100.75,49.99,72.13,60.58
Adult,Male,12,260,114.74,89.39,45.37,67.63,53.05
Juvenile,Unknown,4,70,66,57,29,40,31
Juvenile,Unknown,5,82.8,74.74,62.72,29.86,40.65,34.3
Adult,Male,12,338,120.67,90.29,46.4,67.43,51.93
Adult,Male,16,435,137,109,51,79,58
Adult,Unknown,17,365,119.12,93.51,45.52,70.79,53.87
Adult,Female,16,405,121.63,105.03,47.37,74.28,57.53
Adult,Male,17,405,130,100,50,75,57
Adult,Male,11,450,130.46,50.15,56.68,85.51,62.41
Adult,Male,17,365,120,98,49,74,55
Adult,Male,30,410,122,99,50.5,71,64.5
Adult,Male,22,390,122.57,104.22,47.42,71.93,56.89
Adult,Male,16,345,124,103,48,71,55
Adult,Female,30,380,128,100,46,77,59
Juvenile,Unknown,11,125,82.75,76.02,32.89,48.03,42.39
Adult,Unknown,13,89,78.69,61.91,30.27,43.71,36.54
Adult,Unknown,16,470,128,101,51.9,78.4,64.3
Adult,Female,20,303,111,84,45.5,64.5,60.8
Adult,Male,17,400,122,104,47,70,60
Adult,Female,12,348,111,95,46,70,62
Juvenile,Male,7,210,104,82,44,61,51
Adult,Male,17,250,101.16,88.04,43.65,64.21,54.94
Adult,Male,20,350,121,97,48,77,55
Adult,Female,17,330,113.93,96.73,47.85,66.74,51.99
Adult,Male,21,375,120,102,46,67,55
Adult,Female,20,390,122,102,48,73,57
Adult,Male,12,165,98.7,76.2,41.25,56.13,45.56
Adult,Male,20,375,120.87,101.86,50.37,69.36,58.5
Juvenile,Female,7,83,73,58,29,43,38
Adult,Male,20,350,120.81,96.16,49.45,68.26,53.71
Adult,Male,30,365,117,97,47,71,61
Adult,Male,15,335,124.33,97.66,54.33,83.55,61.37
Adult,Male,12,363,124,99,53,70,56
