Year,Month,t,FuelOil
1999,4,196,357.022
1999,5,197,308.67
1999,6,198,304.401
1999,7,199,285.891
1999,8,200,304.391
1999,9,201,302.972
1999,10,202,362.721
1999,11,203,402.534
1999,12,204,453.739
2000,1,205,548.598
2000,2,206,555.087
2000,3,207,454.438
2000,4,208,368.421
2000,5,209,344.086
2000,6,210,308.382
2000,7,211,295.407
2000,8,212,392.765
2000,9,213,358.684
2000,10,214,402.528
2000,11,215,460.939
2000,12,216,605.407
2001,1,217,655.103
2001,2,218,597.47
2001,3,219,504.973
2001,4,220,424.604
2001,5,221,329.068
2001,6,222,330.603
2001,7,223,344.229
2001,8,224,327.552
2001,9,225,323.003
2001,10,226,386.681
2001,11,227,415.504
2001,12,228,497.392
2002,1,229,560.42
2002,2,230,513.358
2002,3,231,448.033
2002,4,232,349.334
2002,5,233,320.452
2002,6,234,303.767
2002,7,235,315.904
2002,8,236,325.033
2002,9,237,340.2
2002,10,238,391.839
2002,11,239,425.267
2002,12,240,563.484
2003,1,241,673.313
2003,2,242,606.169
2003,3,243,519.274
2003,4,244,404.445
2003,5,245,348.127
2003,6,246,359.676
2003,7,247,350.552
2003,8,248,331.719
2003,9,249,399.877
2003,10,250,404.809
2003,11,251,375.983
2003,12,252,495.894
2004,1,253,603.846
2004,2,254,573.056
2004,3,255,463.951
2004,4,256,405.543
2004,5,257,332.056
2004,6,258,337.105
2004,7,259,330.385
2004,8,260,351.689
2004,9,261,342.155
2004,10,262,380.704
2004,11,263,431.951
2004,12,264,649.274
2005,1,265,545.437
2005,2,266,545.203
2005,3,267,448.113
2005,4,268,360.092
2005,5,269,319.549
2005,6,270,362.087
2005,7,271,337.597
2005,8,272,373.187
2005,9,273,326.659
2005,10,274,353.661
2005,11,275,369.129
2005,12,276,488.145
2006,1,277,461.191
2006,2,278,534.578
2006,3,279,432.5
2006,4,280,308.988
2006,5,281,284.136
2006,6,282,265.074
2006,7,283,245.772
2006,8,284,253.778
2006,9,285,272.376
2006,10,286,276.376
2006,11,287,309.436
2006,12,288,388.252
2007,1,289,424.459
2007,2,290,514.399
2007,3,291,451.375
2007,4,292,263.016
2007,5,293,192.595
2007,6,294,224.328
2007,7,295,219.158
2007,8,296,245.848
2007,9,297,262.091
2007,10,298,299.497
2007,11,299,408.263
2007,12,300,603.036
2008,1,301,587.502
2008,2,302,603.119
2008,3,303,428.001
2008,4,304,333.827
2008,5,305,236.192
2008,6,306,259.952
2008,7,307,245.588
2008,8,308,220.621
2008,9,309,237.292
2008,10,310,265.885
2008,11,311,331.978
2008,12,312,511.111
2009,1,313,434.112
2009,2,314,402.577
2009,3,315,349.376
2009,4,316,276.191
2009,5,317,186.663
2009,6,318,178.455
2009,7,319,200.154
2009,8,320,208.768
2009,9,321,252.664
2009,10,322,217.118
2009,11,323,220.754
2009,12,324,390.65
2010,1,325,446.876
2010,2,326,457.836
2010,3,327,262.778
2010,4,328,189.975
2010,5,329,201.442
2010,6,330,237.259
2010,7,331,183.782
2010,8,332,164.179
2010,9,333,152.601
2010,10,334,226.792
2010,11,335,262.849
2010,12,336,419.939
2011,1,337,351.633
2011,2,338,368.883
2011,3,339,251.491
2011,4,340,173.393
2011,5,341,114.235
2011,6,342,177.386
2011,7,343,158.442
2011,8,344,216.788
2011,9,345,237.263
2011,10,346,257.445
2011,11,347,295.359
2011,12,348,381.034
2012,1,349,379.657
2012,2,350,319.135
2012,3,351,259.205
2012,4,352,189.561
2012,5,353,188.065
2012,6,354,194.818
2012,7,355,181.764
2012,8,356,228.256
2012,9,357,183.706
2012,10,358,163.041
2012,11,359,214.827
2012,12,360,238.486
2013,1,361,432.844
2013,2,362,444.066
2013,3,363,348.345
2013,4,364,270.065
2013,5,365,170.665
2013,6,366,124.813
2013,7,367,121.531
2013,8,368,157.205
2013,9,369,177.639
2013,10,370,127.104
2013,11,371,200.018
2013,12,372,239.195
2014,1,373,330.352
2014,2,374,405.891
2014,3,375,328.024
2014,4,376,164.414
2014,5,377,214.976
2014,6,378,191.278
2014,7,379,154.731
2014,8,380,161.939
2014,9,381,233.675
2014,10,382,244.477
2014,11,383,297.298
2014,12,384,319.048
2015,1,385,424.263
2015,2,386,405.406
2015,3,387,290.434
2015,4,388,180.688
2015,5,389,174.969
2015,6,390,106.009
2015,7,391,118.316
2015,8,392,146.591
2015,9,393,144.17
2015,10,394,352.682
2015,11,395,391.278
2015,12,396,411.617
2016,1,397,377.86
2016,2,398,394.53
2016,3,399,261.055
2016,4,400,237.167
2016,5,401,207.853
2016,6,402,147.227
2016,7,403,151.088
2016,8,404,117.797
2016,9,405,185.003
2016,10,406,252.797
2016,11,407,281.98
2016,12,408,442.247
