Date,AAPL,GOOG,MSFT,t
10/31/2016,113.54,784.54,59.92,232
11/1/2016,111.49,783.61,59.8,233
11/2/2016,111.59,768.7,59.43,234
11/3/2016,109.83,762.13,59.21,235
11/4/2016,108.84,762.02,58.71,236
11/7/2016,110.41,782.52,60.42,237
11/8/2016,111.06,790.51,60.47,238
11/9/2016,110.88,785.31,60.17,239
11/10/2016,107.79,762.56,58.7,240
11/11/2016,108.43,754.02,59.02,241
11/14/2016,105.71,736.08,58.12,242
11/15/2016,107.11,758.49,58.87,243
11/16/2016,109.99,764.48,59.65,244
11/17/2016,109.95,771.23,60.64,245
11/18/2016,110.06,760.54,60.35,246
11/21/2016,111.73,769.2,60.86,247
11/22/2016,111.8,768.27,61.12,248
11/23/2016,111.23,760.99,60.4,249
11/25/2016,111.79,761.68,60.53,250
11/28/2016,111.57,768.24,60.61,251
11/29/2016,111.46,770.84,61.09,252
11/30/2016,110.52,758.04,60.26,253
12/1/2016,109.49,747.92,59.2,254
12/2/2016,109.9,750.5,59.25,255
12/5/2016,109.11,762.52,60.22,256
12/6/2016,109.95,759.11,59.95,257
12/7/2016,111.03,771.19,61.37,258
12/8/2016,112.12,776.42,61.01,259
12/9/2016,113.95,789.29,61.97,260
12/12/2016,113.3,789.27,62.17,261
12/13/2016,115.19,796.1,62.98,262
12/14/2016,115.19,797.07,62.68,263
12/15/2016,115.82,797.85,62.58,264
12/16/2016,115.97,790.8,62.3,265
12/19/2016,116.64,794.2,63.62,266
12/20/2016,116.95,796.42,63.54,267
12/21/2016,117.06,794.56,63.54,268
12/22/2016,116.29,791.26,63.55,269
12/23/2016,116.52,789.91,63.24,270
12/27/2016,117.26,791.55,63.28,271
12/28/2016,116.76,785.05,62.99,272
12/29/2016,116.73,782.79,62.9,273
12/30/2016,115.82,771.82,62.14,274
1/3/2017,116.15,786.14,62.58,275
1/4/2017,116.02,786.9,62.3,276
1/5/2017,116.61,794.02,62.3,277
1/6/2017,117.91,806.15,62.84,278
1/9/2017,118.99,806.65,62.64,279
1/10/2017,119.11,804.79,62.62,280
1/11/2017,119.75,807.91,63.19,281
1/12/2017,119.25,806.36,62.61,282
1/13/2017,119.04,807.88,62.7,283
1/17/2017,120,804.61,62.53,284
1/18/2017,119.99,806.07,62.5,285
1/19/2017,119.78,802.175,62.3,286
1/20/2017,120,805.02,62.74,287
1/23/2017,120.08,819.31,62.96,288
1/24/2017,119.97,823.87,63.52,289
1/25/2017,121.88,835.67,63.68,290
1/26/2017,121.94,832.15,64.27,291
1/27/2017,121.95,823.31,65.78,292
1/30/2017,121.63,802.32,65.13,293
1/31/2017,121.35,796.79,64.65,294
2/1/2017,128.75,795.695,63.58,295
2/2/2017,128.53,798.53,63.17,296
2/3/2017,129.08,801.49,63.68,297
2/6/2017,130.29,801.34,63.64,298
2/7/2017,131.53,806.97,63.43,299
2/8/2017,132.04,808.38,63.34,300
2/9/2017,132.42,809.56,64.06,301
2/10/2017,132.12,813.67,64,302
2/13/2017,133.29,819.24,64.72,303
2/14/2017,135.02,820.45,64.57,304
2/15/2017,135.51,818.98,64.53,305
2/16/2017,135.345,824.16,64.52,306
2/17/2017,135.72,828.07,64.62,307
2/21/2017,136.7,831.66,64.49,308
2/22/2017,137.11,830.76,64.36,309
2/23/2017,136.53,831.33,64.62,310
2/24/2017,136.66,828.64,64.62,311
2/27/2017,136.93,829.28,64.23,312
2/28/2017,136.99,823.21,63.98,313
3/1/2017,139.79,835.24,64.94,314
3/2/2017,138.96,830.63,64.01,315
3/3/2017,139.78,829.08,64.25,316
3/6/2017,139.34,827.78,64.27,317
3/7/2017,139.52,831.91,64.4,318
3/8/2017,139,835.37,64.99,319
3/9/2017,138.68,838.68,64.73,320
3/10/2017,139.14,843.25,64.93,321
3/13/2017,139.2,845.54,64.71,322
3/14/2017,138.99,845.62,64.41,323
3/15/2017,140.46,847.2,64.75,324
3/16/2017,140.69,848.78,64.64,325
3/17/2017,139.99,852.12,64.87,326
3/20/2017,141.46,848.4,64.93,327
3/21/2017,139.84,830.46,64.21,328
3/22/2017,141.42,829.59,65.03,329
3/23/2017,140.92,817.58,64.87,330
3/24/2017,140.64,814.43,64.98,331
3/27/2017,140.88,819.51,65.1,332
3/28/2017,143.8,820.92,65.29,333
3/29/2017,144.12,831.41,65.47,334
3/30/2017,143.93,831.5,65.71,335
3/31/2017,143.66,829.56,65.86,336
4/3/2017,143.7,838.55,65.55,337
4/4/2017,144.77,834.57,65.73,338
4/5/2017,144.02,831.41,65.56,339
4/6/2017,143.66,827.88,65.73,340
4/7/2017,143.34,824.67,65.68,341
4/10/2017,143.17,824.73,65.53,342
4/11/2017,141.63,823.35,65.48,343
4/12/2017,141.8,824.32,65.23,344
4/13/2017,141.05,823.56,64.95,345
4/17/2017,141.83,837.17,65.48,346
4/18/2017,141.2,836.82,65.39,347
4/19/2017,140.68,838.21,65.04,348
4/20/2017,142.44,841.65,65.5,349
4/21/2017,142.27,843.19,66.4,350
4/24/2017,143.64,862.76,67.53,351
4/25/2017,144.54,872.3,67.92,352
4/26/2017,143.6508,871.624,67.83,353
4/27/2017,143.79,874.25,68.27,354
4/28/2017,143.65,905.96,68.46,355
5/1/2017,146.6,912.57,69.41,356
5/2/2017,147.51,916.44,69.3,357
5/3/2017,147.06,927.04,69.08,358
5/4/2017,146.53,931.66,68.81,359
5/5/2017,148.96,927.13,69,360
5/8/2017,153,934.3,68.94,361
5/9/2017,153.96,932.17,69.04,362
5/10/2017,153.26,928.78,69.31,363
5/11/2017,153.95,930.6,68.46,364
5/12/2017,156.1,932.22,68.38,365
5/15/2017,155.7,937.08,68.43,366
5/16/2017,155.47,943,69.41,367
5/17/2017,150.25,919.62,67.48,368
5/18/2017,152.54,930.24,67.71,369
5/19/2017,152.96,934.01,67.69,370
5/22/2017,153.99,941.86,68.45,371
5/23/2017,153.8,948.82,68.68,372
5/24/2017,153.34,954.96,68.77,373
5/25/2017,153.87,969.54,69.62,374
5/26/2017,153.61,971.47,69.97,375
5/30/2017,153.67,975.88,70.41,376
5/31/2017,152.76,964.86,69.84,377
6/1/2017,153.18,966.95,70.1,378
6/2/2017,155.45,975.6,71.76,379
6/5/2017,153.93,983.68,72.28,380
6/6/2017,154.45,976.57,72.52,381
6/7/2017,155.37,981.08,72.39,382
6/8/2017,154.99,983.41,71.945,383
6/9/2017,148.98,949.83,70.32,384
6/12/2017,145.32,942.9,69.78,385
6/13/2017,146.59,953.4,70.65,386
6/14/2017,145.16,950.76,70.27,387
6/15/2017,144.29,942.31,69.9,388
6/16/2017,142.27,939.78,70,389
6/19/2017,146.34,957.37,70.87,390
6/20/2017,145.01,950.63,69.91,391
6/21/2017,145.87,959.45,70.27,392
6/22/2017,145.63,957.09,70.26,393
6/23/2017,146.35,965.59,71.21,394
6/26/2017,145.82,952.27,70.53,395
6/27/2017,143.74,927.33,69.21,396
6/28/2017,145.83,940.49,69.8,397
6/29/2017,143.68,917.79,68.49,398
6/30/2017,144.02,908.73,68.93,399
7/3/2017,143.5,898.7,68.17,400
7/5/2017,144.09,911.94,69.08,401
7/6/2017,142.73,906.69,68.57,402
7/7/2017,144.18,918.59,69.46,403
7/10/2017,145.06,928.8,69.98,404
7/11/2017,145.53,930.09,69.99,405
7/12/2017,145.74,943.83,71.15,406
7/13/2017,147.77,947.16,71.77,407
7/14/2017,149.04,955.99,72.78,408
7/17/2017,149.56,953.42,73.35,409
7/18/2017,150.08,965.4,73.3,410
7/19/2017,151.02,970.89,73.86,411
7/20/2017,150.34,968.15,74.24,412
7/21/2017,150.27,972.92,73.79,413
7/24/2017,152.09,980.34,73.6,414
7/25/2017,152.74,950.7,74.19,415
7/26/2017,153.46,947.8,74.05,416
7/27/2017,150.56,934.09,73.16,417
7/28/2017,149.5,941.53,73.04,418
7/31/2017,148.85,930.5,72.72,419
8/1/2017,150.05,930.83,72.58,420
8/2/2017,157.14,930.39,72.26,421
8/3/2017,155.57,923.65,72.15,422
8/4/2017,156.39,927.96,72.68,423
8/8/2017,160.08,926.79,72.79,424
8/9/2017,161.06,922.9,72.47,425
8/10/2017,155.27,907.24,71.41,426
8/11/2017,157.48,914.39,72.5,427
8/14/2017,159.85,922.67,73.59,428
8/15/2017,161.6,922.22,73.22,429
8/16/2017,160.95,926.96,73.65,430
8/17/2017,157.87,910.98,72.4,431
8/18/2017,157.5,910.67,72.49,432
8/21/2017,157.21,906.66,72.15,433
8/22/2017,159.78,924.69,73.16,434
8/23/2017,159.98,927,72.72,435
8/24/2017,159.27,921.28,72.69,436
8/25/2017,159.86,915.89,72.82,437
8/28/2017,161.47,913.81,72.83,438
8/29/2017,162.91,921.29,73.05,439
8/30/2017,163.35,929.57,74.01,440
8/31/2017,164,939.33,74.77,441
9/1/2017,164.05,937.34,73.94,442
9/5/2017,162.08,928.45,73.61,443
9/6/2017,161.91,927.81,73.4,444
9/7/2017,161.26,935.95,74.34,445
9/8/2017,158.63,926.5,73.98,446
9/11/2017,161.5,929.08,74.76,447
9/12/2017,160.82,932.07,74.68,448
9/13/2017,159.65,935.09,75.21,449
9/14/2017,158.28,925.11,74.77,450
9/15/2017,159.88,920.29,75.31,451
9/18/2017,158.67,915,75.16,452
9/19/2017,158.73,921.81,75.44,453
9/20/2017,156.07,931.58,74.94,454
9/21/2017,153.39,932.45,74.21,455
9/22/2017,151.89,928.53,74.41,456
9/25/2017,150.55,920.97,73.26,457
9/26/2017,153.14,924.86,73.26,458
9/27/2017,154.23,944.49,73.85,459
9/28/2017,153.28,949.5,73.87,460
9/29/2017,154.12,959.11,74.49,461
10/2/2017,153.81,953.27,74.61,462
10/3/2017,154.48,957.79,74.26,463
10/4/2017,153.4508,951.68,74.69,464
10/5/2017,155.39,969.96,75.97,465
10/6/2017,155.3,978.89,76,466
10/9/2017,155.84,977,76.29,467
10/10/2017,155.9,972.6,76.29,468
10/11/2017,156.55,989.25,76.42,469
10/12/2017,156,987.83,77.12,470
10/13/2017,156.99,989.68,77.49,471
10/16/2017,159.88,992,77.65,472
10/17/2017,160.47,992.18,77.59,473
10/18/2017,159.76,992.81,77.61,474
10/19/2017,155.98,984.45,77.91,475
10/20/2017,156.16,988.2,78.81,476
10/23/2017,156.17,968.45,78.83,477
10/24/2017,157.1,970.54,78.86,478
10/25/2017,156.405,973.33,78.63,479
10/26/2017,157.41,972.56,78.76,480
10/27/2017,163.05,1019.27,83.81,481
10/30/2017,166.72,1017.11,83.89,482
10/31/2017,169.04,1016.64,83.18,483
11/1/2017,166.89,1025.5,83.18,484
11/2/2017,168.11,1025.58,84.05,485
11/3/2017,172.5,1032.48,84.14,486
11/6/2017,174.25,1025.9,84.47,487
11/7/2017,174.81,1033.33,84.27,488
11/9/2017,175.88,1031.26,84.09,489
11/10/2017,174.67,1028.07,83.87,490
11/13/2017,173.97,1025.75,83.93,491
11/14/2017,171.34,1026,84.05,492
11/15/2017,169.08,1020.91,82.98,493
11/16/2017,171.1,1032.5,83.2,494
11/17/2017,170.15,1019.09,82.4,495
11/20/2017,169.98,1018.38,82.53,496
11/21/2017,173.14,1034.49,83.72,497
11/22/2017,174.96,1035.96,83.11,498
11/24/2017,174.97,1040.61,83.26,499
11/27/2017,174.09,1054.21,83.87,500
11/28/2017,173.07,1047.41,84.88,501
11/29/2017,169.48,1021.66,83.34,502
11/30/2017,171.85,1021.41,84.17,503
12/1/2017,171.05,1010.17,84.26,504
